service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"TA","1","1","1","1","1","1","1","20251214","20261212"
"TA+00100","0","0","0","0","1","0","1","20251214","20261212"
"TA+00300","0","0","0","0","0","1","1","20251214","20261212"
"TA+00400","1","1","1","1","1","0","0","20251214","20261212"
"TA+00500","1","1","1","1","1","0","1","20251214","20261212"
"TA+00600","0","0","0","0","0","0","1","20251214","20261212"
"TA+00700","1","1","1","1","1","1","1","20251214","20261212"
"TA+00a00","1","1","1","1","1","1","1","20251214","20261212"
"TA+00b00","0","0","0","0","0","1","0","20251214","20261212"
"TA+00h00","1","1","1","0","0","0","0","20251214","20261212"
"TA+00i00","0","0","0","0","1","1","0","20251214","20261212"
"TA+00j00","0","0","0","1","1","1","1","20251214","20261212"
"TA+00k00","1","1","1","1","1","0","0","20251214","20261212"
"TA+00l00","1","1","1","1","1","1","1","20251214","20261212"
"TA+00o00","1","1","1","1","1","0","1","20251214","20261212"
"TA+00r00","0","0","0","0","0","1","1","20251214","20261212"
"TA+01200","0","0","0","0","0","1","1","20251214","20261212"
"TA+01c00","0","0","0","0","1","0","1","20251214","20261212"
"TA+01f00","1","0","0","1","1","0","0","20251214","20261212"
"TA+01i00","1","1","1","1","1","0","0","20251214","20261212"
"TA+01l00","0","0","0","0","1","1","0","20251214","20261212"
"TA+01m00","0","0","0","0","1","0","1","20251214","20261212"
"TA+01n00","0","0","0","0","0","1","1","20251214","20261212"
"TA+01o00","1","1","1","1","1","0","0","20251214","20261212"
"TA+01r00","0","0","0","0","0","0","1","20251214","20261212"
"TA+02000","1","1","1","1","1","1","1","20251214","20261212"
"TA+02100","0","0","0","0","1","0","0","20251214","20261212"
"TA+02800","0","0","0","1","1","0","1","20251214","20261212"
"TA+02b00","0","0","0","0","0","0","1","20251214","20261212"
"TA+02g00","0","0","0","0","0","1","0","20251214","20261212"
"TA+02i00","1","1","1","1","1","0","0","20251214","20261212"
"TA+02j00","0","0","0","0","0","0","1","20251214","20261212"
"TA+02k00","0","0","0","0","0","1","1","20251214","20261212"
"TA+02n00","1","1","1","1","1","1","1","20251214","20261212"
"TA+02o00","1","1","1","1","1","0","0","20251214","20261212"
"TA+02r00","0","0","0","1","1","1","1","20251214","20261212"
"TA+03000","1","1","1","1","0","0","1","20251214","20261212"
"TA+03100","1","1","1","1","1","1","1","20251214","20261212"
"TA+03200","0","0","0","0","1","0","1","20251214","20261212"
"TA+03300","1","1","1","1","1","0","0","20251214","20261212"
"TA+03500","1","1","1","1","1","1","0","20251214","20261212"
"TA+03h00","1","1","1","1","0","0","0","20251214","20261212"
"TA+03i00","0","0","0","0","0","0","1","20251214","20261212"
"TA+03j00","1","1","1","0","1","0","0","20251214","20261212"
"TA+03k00","0","0","0","0","0","0","1","20251214","20261212"
"TA+03n00","0","1","1","1","1","0","0","20251214","20261212"
"TA+03o00","1","1","1","1","1","1","1","20251214","20261212"
"TA+03r00","1","1","1","1","1","0","0","20251214","20261212"
"TA+04100","1","1","1","1","1","0","0","20251214","20261212"
"TA+04200","0","0","0","0","0","0","1","20251214","20261212"
"TA+04300","0","1","0","1","1","1","0","20251214","20261212"
"TA+04800","1","1","1","1","0","0","0","20251214","20261212"
"TA+04i00","1","1","1","1","1","0","1","20251214","20261212"
"TA+04j00","1","1","1","1","1","1","0","20251214","20261212"
"TA+04l00","0","0","0","0","0","1","1","20251214","20261212"
"TA+04n00","1","1","1","0","1","0","0","20251214","20261212"
"TA+04o00","1","1","1","1","1","0","0","20251214","20261212"
"TA+04r00","0","0","1","1","0","0","1","20251214","20261212"
"TA+05000","1","1","1","1","1","1","1","20251214","20261212"
"TA+05100","1","1","1","1","1","1","1","20251214","20261212"
"TA+05200","1","1","0","1","1","1","1","20251214","20261212"
"TA+05300","0","1","0","0","1","0","0","20251214","20261212"
"TA+05500","0","0","0","0","1","1","0","20251214","20261212"
"TA+05600","0","0","0","0","0","1","0","20251214","20261212"
"TA+05800","0","0","1","0","1","0","0","20251214","20261212"
"TA+05900","1","1","1","1","0","0","1","20251214","20261212"
"TA+05f00","1","1","1","1","1","1","0","20251214","20261212"
"TA+05g00","1","1","1","1","0","0","0","20251214","20261212"
"TA+05j00","0","1","1","1","1","0","0","20251214","20261212"
"TA+05k00","0","0","0","1","1","0","1","20251214","20261212"
"TA+05m00","1","0","1","1","1","0","0","20251214","20261212"
"TA+05n00","1","1","1","1","1","0","1","20251214","20261212"
"TA+05o00","1","1","1","1","1","0","0","20251214","20261212"
"TA+05r00","1","1","1","1","0","0","0","20251214","20261212"
"TA+06100","1","1","1","1","1","1","1","20251214","20261212"
"TA+06300","1","1","1","1","1","1","1","20251214","20261212"
"TA+06a00","1","1","1","1","1","0","0","20251214","20261212"
"TA+06g00","0","0","0","0","1","0","0","20251214","20261212"
"TA+06i00","1","1","1","1","1","0","0","20251214","20261212"
"TA+06l00","0","0","0","0","0","1","0","20251214","20261212"
"TA+06m00","1","1","1","1","1","1","1","20251214","20261212"
"TA+06n00","0","0","0","1","0","0","1","20251214","20261212"
"TA+06o00","1","1","1","1","1","0","0","20251214","20261212"
"TA+06r00","0","0","0","0","0","0","1","20251214","20261212"
"TA+07000","0","0","0","1","1","1","1","20251214","20261212"
"TA+07100","0","0","0","0","1","1","0","20251214","20261212"
"TA+07200","0","0","0","0","1","1","0","20251214","20261212"
"TA+07300","1","1","0","1","0","0","1","20251214","20261212"
"TA+07800","0","0","0","0","0","0","1","20251214","20261212"
"TA+07b00","0","1","1","0","0","0","0","20251214","20261212"
"TA+07f00","1","1","1","1","1","1","1","20251214","20261212"
"TA+07g00","0","0","0","0","1","1","0","20251214","20261212"
"TA+07i00","1","1","1","1","1","0","0","20251214","20261212"
"TA+07j00","1","1","1","1","0","0","1","20251214","20261212"
"TA+07l00","1","1","1","1","0","0","0","20251214","20261212"
"TA+07m00","0","0","0","0","1","1","1","20251214","20261212"
"TA+07n00","0","1","1","1","1","1","1","20251214","20261212"
"TA+07o00","1","1","1","1","1","1","0","20251214","20261212"
"TA+07r00","0","0","0","0","1","1","1","20251214","20261212"
"TA+08000","1","1","1","0","0","0","1","20251214","20261212"
"TA+08200","1","1","1","1","1","0","0","20251214","20261212"
"TA+08300","1","1","1","1","0","1","1","20251214","20261212"
"TA+08700","1","1","1","1","1","1","1","20251214","20261212"
"TA+08a00","1","1","1","1","1","0","0","20251214","20261212"
"TA+08b00","0","0","1","1","1","1","1","20251214","20261212"
"TA+08f00","0","0","0","1","1","1","0","20251214","20261212"
"TA+08g00","1","1","1","1","1","1","0","20251214","20261212"
"TA+08i00","1","0","0","0","0","0","0","20251214","20261212"
"TA+08k00","1","1","1","1","0","1","1","20251214","20261212"
"TA+08l00","1","1","1","1","0","0","1","20251214","20261212"
"TA+08m00","1","1","1","1","1","1","0","20251214","20261212"
"TA+08n00","0","0","0","0","0","1","0","20251214","20261212"
"TA+09300","0","0","1","1","0","0","0","20251214","20261212"
"TA+09500","1","1","1","1","1","1","1","20251214","20261212"
"TA+09600","0","1","0","0","1","0","0","20251214","20261212"
"TA+09700","0","0","0","0","1","0","1","20251214","20261212"
"TA+09c00","0","0","0","0","0","1","1","20251214","20261212"
"TA+09f00","1","1","1","1","0","1","0","20251214","20261212"
"TA+09g00","1","1","1","1","1","0","0","20251214","20261212"
"TA+09i00","0","1","1","0","0","0","0","20251214","20261212"
"TA+09j00","1","0","1","1","0","0","0","20251214","20261212"
"TA+09m00","1","1","1","1","1","0","1","20251214","20261212"
"TA+09n00","0","0","0","0","0","0","1","20251214","20261212"
"TA+09o00","0","0","1","0","0","0","1","20251214","20261212"
"TA+0A","1","1","1","1","1","1","1","20251214","20261212"
"TA+0a300","1","1","1","1","1","1","1","20251214","20261212"
"TA+0a400","0","0","0","1","0","0","0","20251214","20261212"
"TA+0a600","0","1","0","1","1","0","1","20251214","20261212"
"TA+0ad00","1","0","1","1","1","0","0","20251214","20261212"
"TA+0af00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0ai00","1","1","0","0","1","0","0","20251214","20261212"
"TA+0aj00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0ak00","0","0","1","1","1","1","0","20251214","20261212"
"TA+0am00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0an00","0","0","0","0","0","0","1","20251214","20261212"
"TA+0ao00","0","0","0","0","0","0","1","20251214","20261212"
"TA+0b","1","1","1","1","1","0","0","20251214","20261212"
"TA+0B","0","0","0","0","0","0","1","20251214","20261212"
"TA+0b200","1","1","1","1","1","1","1","20251214","20261212"
"TA+0b700","1","1","1","1","1","0","0","20251214","20261212"
"TA+0b900","0","0","0","0","1","1","1","20251214","20261212"
"TA+0bc00","0","0","0","0","1","0","0","20251214","20261212"
"TA+0bd00","0","0","0","0","0","1","0","20251214","20261212"
"TA+0bi00","1","1","1","1","0","0","1","20251214","20261212"
"TA+0bj00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0bm00","1","1","1","1","0","0","1","20251214","20261212"
"TA+0bo00","0","0","0","0","0","0","1","20251214","20261212"
"TA+0bp00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0C","1","1","1","1","1","0","0","20251214","20261212"
"TA+0c000","0","0","0","0","0","1","1","20251214","20261212"
"TA+0c200","1","1","1","1","0","1","1","20251214","20261212"
"TA+0c300","0","0","0","0","0","0","1","20251214","20261212"
"TA+0c400","0","0","0","0","0","1","0","20251214","20261212"
"TA+0cd00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0cg00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0ci00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0cj00","1","1","1","1","0","0","1","20251214","20261212"
"TA+0cm00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0cn00","1","1","1","1","0","0","0","20251214","20261212"
"TA+0co00","0","0","0","1","1","1","1","20251214","20261212"
"TA+0cp00","0","0","0","0","0","1","0","20251214","20261212"
"TA+0cq00","1","1","1","0","1","0","0","20251214","20261212"
"TA+0d","1","1","1","1","1","0","0","20251214","20261212"
"TA+0D","0","0","0","0","0","1","0","20251214","20261212"
"TA+0d000","0","0","0","0","0","0","1","20251214","20261212"
"TA+0d200","0","0","0","1","1","0","0","20251214","20261212"
"TA+0d300","1","1","1","1","1","1","1","20251214","20261212"
"TA+0d500","1","0","1","0","1","0","0","20251214","20261212"
"TA+0d800","0","1","1","0","0","0","0","20251214","20261212"
"TA+0dc00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0di00","0","0","0","0","1","1","1","20251214","20261212"
"TA+0dl00","0","0","0","1","0","1","1","20251214","20261212"
"TA+0dm00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0dn00","1","1","1","1","1","0","1","20251214","20261212"
"TA+0do00","1","0","1","1","0","1","1","20251214","20261212"
"TA+0dq00","1","1","1","1","0","1","0","20251214","20261212"
"TA+0e","1","1","1","1","0","0","1","20251214","20261212"
"TA+0E","0","0","0","1","0","0","0","20251214","20261212"
"TA+0e000","1","1","1","1","1","1","1","20251214","20261212"
"TA+0e100","1","1","1","1","1","1","1","20251214","20261212"
"TA+0e200","1","1","1","1","1","1","1","20251214","20261212"
"TA+0e300","0","0","0","0","0","1","0","20251214","20261212"
"TA+0e800","0","1","1","1","0","0","0","20251214","20261212"
"TA+0ea00","1","1","0","0","0","0","1","20251214","20261212"
"TA+0ed00","1","1","1","0","0","0","0","20251214","20261212"
"TA+0ei00","0","0","0","1","1","1","1","20251214","20261212"
"TA+0ej00","1","1","1","1","0","0","0","20251214","20261212"
"TA+0eo00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0eq00","1","0","0","0","0","0","0","20251214","20261212"
"TA+0f","1","1","1","1","1","1","1","20251214","20261212"
"TA+0F","0","1","1","0","1","0","0","20251214","20261212"
"TA+0f000","0","0","0","0","0","1","0","20251214","20261212"
"TA+0f100","0","0","0","0","0","1","1","20251214","20261212"
"TA+0f200","1","1","1","1","1","0","0","20251214","20261212"
"TA+0f500","1","1","1","1","1","1","1","20251214","20261212"
"TA+0fd00","1","1","1","1","0","1","1","20251214","20261212"
"TA+0fi00","0","0","0","0","0","0","1","20251214","20261212"
"TA+0fj00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0fn00","0","1","1","1","1","1","1","20251214","20261212"
"TA+0fp00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0fq00","0","0","0","0","0","0","1","20251214","20261212"
"TA+0g","0","0","0","0","0","1","1","20251214","20261212"
"TA+0G","1","1","1","1","1","0","0","20251214","20261212"
"TA+0g000","1","1","1","1","1","0","0","20251214","20261212"
"TA+0g100","0","0","0","0","0","1","1","20251214","20261212"
"TA+0g400","1","1","0","1","1","1","1","20251214","20261212"
"TA+0g600","1","1","1","1","1","1","1","20251214","20261212"
"TA+0g700","0","0","0","1","1","1","0","20251214","20261212"
"TA+0gc00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0gd00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0gh00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0gi00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0gj00","0","0","0","0","0","0","1","20251214","20261212"
"TA+0gl00","1","1","1","1","0","0","0","20251214","20261212"
"TA+0gm00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0gn00","0","1","0","1","1","1","1","20251214","20261212"
"TA+0gp00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0gq00","0","0","0","0","1","0","0","20251214","20261212"
"TA+0h","1","1","1","1","1","1","1","20251214","20261212"
"TA+0H","1","1","1","1","1","0","0","20251214","20261212"
"TA+0h000","1","1","1","1","1","0","0","20251214","20261212"
"TA+0h100","0","0","0","0","0","1","1","20251214","20261212"
"TA+0h400","0","1","0","0","0","0","1","20251214","20261212"
"TA+0ha00","0","1","0","0","0","0","0","20251214","20261212"
"TA+0hc00","0","0","0","1","1","0","0","20251214","20261212"
"TA+0hi00","0","0","0","1","1","1","1","20251214","20261212"
"TA+0hj00","0","0","0","0","0","1","1","20251214","20261212"
"TA+0hk00","0","0","1","1","1","1","0","20251214","20261212"
"TA+0hl00","1","1","0","1","1","1","1","20251214","20261212"
"TA+0hn00","0","1","1","1","1","1","1","20251214","20261212"
"TA+0ho00","1","1","1","1","0","0","0","20251214","20261212"
"TA+0hq00","1","1","1","1","0","0","0","20251214","20261212"
"TA+0i000","1","0","0","1","0","0","0","20251214","20261212"
"TA+0i100","1","1","1","1","1","1","1","20251214","20261212"
"TA+0i200","0","0","0","0","1","1","0","20251214","20261212"
"TA+0i300","1","1","1","1","1","0","0","20251214","20261212"
"TA+0i400","0","0","1","0","0","1","0","20251214","20261212"
"TA+0i500","1","1","1","1","1","0","1","20251214","20261212"
"TA+0i600","1","1","1","1","1","1","0","20251214","20261212"
"TA+0i700","0","0","0","0","1","0","0","20251214","20261212"
"TA+0i800","0","0","0","1","1","0","1","20251214","20261212"
"TA+0ia00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0ib00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0ic00","0","1","1","1","0","0","0","20251214","20261212"
"TA+0if00","1","1","1","1","0","0","0","20251214","20261212"
"TA+0ii00","0","0","0","1","1","0","1","20251214","20261212"
"TA+0ij00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0il00","1","1","1","1","1","1","0","20251214","20261212"
"TA+0im00","1","1","1","1","1","1","1","20251214","20261212"
"TA+0iq00","1","1","1","1","1","0","0","20251214","20261212"
"TA+0J","1","1","1","1","1","1","0","20251214","20261212"
